Sheet,Name,UpdateGroup,OS,IPAddress,UpdateDetails,SuperOpsName,AssetId,HostName,Platform,PlatformFamily,Status,PatchStatus,LastCommunicated,Category,Matched
INC-46316,USV-ESX-101,Sonstige,,10.100.15.171,Firmware USV & NIC,,,,,,,,,,No
Wartungsplan 2024 - Q4,10.100.62.210,Sonstige,,10.100.62.210,Keine - Muss durch SWIT gewartet werden,,,,,,,,,,No
Wartungsplan 2024 - Q4,10.100.62.211,Sonstige,,10.100.62.211,Keine - Muss durch SWIT gewartet werden,,,,,,,,,,No
Wartungsplan 2024 - Q4,10.100.62.212,Sonstige,,10.100.62.212,Keine - Muss durch SWIT gewartet werden,,,,,,,,,,No
Wartungsplan 2024 - Q4,10.100.62.213,Sonstige,,10.100.62.213,Keine - Muss durch SWIT gewartet werden,,,,,,,,,,No
Wartungsplan 2024 - Q4,10.100.62.214,Sonstige,,10.100.62.214,Keine - Muss durch SWIT gewartet werden,,,,,,,,,,No
Wartungsplan 2024 - Q4,CL-DMZ-01,AutoInstall,Microsoft Windows Server 2019 Standard,10.100.66.21,OS Updates + Hilfs-Applikationen,CL-DMZ-01,5037667291742158848,CL-DMZ-01,Microsoft Windows Server 2019 Standard,Server,OFFLINE,Fully Patched,2026-06-24 11:07,SV_SW-Std_Auto-Update-1,Yes
Wartungsplan 2024 - Q4,CL-DMZ-02,AutoInstall,Windows 10,10.100.66.22,OS Updates + Hilfs-Applikationen,CL-DMZ-02,5230301397412839424,CL-DMZ-02,Microsoft Windows 10 Pro,Standalone Workstation,OFFLINE,Fully Patched,2026-02-19 07:03,SV_SW-Std_Auto-Update-1,Yes
Wartungsplan 2024 - Q4,NET-FW-01,Network,FortiOS v6.4.7 build1911 (GA),10.100.15.1,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-SW-01,Network,,10.100.15.201,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-SW-02,Network,,10.100.15.202,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-SW-03,Network,,10.100.15.203,Firmware Updates,,,,,,,,,,No
